"name","company","ticker","stock","percent_portfolio","shares","reported_price","percent_difference_current_price","current_price","value"
Christopher Davis,Clipper Fund,CI,CIGNA CORP,3.36%,116950,$330.57,10.91%,$366.64,$38660161
Christopher Davis,Clipper Fund,COP,CONOCOPHILLIPS,0.34%,24421,$114.38,5.09%,$108.56,$2793296
Christopher Davis,Clipper Fund,DANSKE,DANSKE BANK AS,1.73%,668121,$29.80,0,0,$19907682
Christopher Davis,Clipper Fund,D05,DBS GROUP HOLDINGS LTD,2.68%,1167980,$26.39,0,0,$30827436
Christopher Davis,Clipper Fund,DIDI,DIDI GLOBAL INC,0.79%,2199482,$4.14,44.69%,$2.29,$9105855
Christopher Davis,Clipper Fund,HUM,HUMANA INC,5.09%,108047,$373.65,0.60%,$371.40,$40371798
Christopher Davis,Clipper Fund,INTC,INTEL CORP,2.43%,903060,$30.97,37.26%,$19.43,$27967768
Christopher Davis,Clipper Fund,JD,JDCOM INC-ADR,0.53%,234980,$25.84,3.83%,$26.83,$6071883
Christopher Davis,Clipper Fund,JPM,JPMORGAN CHASE & CO,1.55%,59617,$202.26,8.44%,$219.33,$12058204
Christopher Davis,Clipper Fund,MKL,MARKEL CORP,5.87%,28285,$1575.66,0.33%,$1570.45,$44568519
Christopher Davis,Clipper Fund,META,META PLATFORMS INC-CLASS A,10.04%,228940,$504.22,1.69%,$512.74,$115436126
Christopher Davis,Clipper Fund,MGM,MGM RESORTS INTERNATIONAL,3.70%,957140,$44.44,17.62%,$36.61,$42535301
Christopher Davis,Clipper Fund,NPN,NASPERS LTD N SHS,1.59%,93460,$196.07,0,0,$18324555
Christopher Davis,Clipper Fund,OC,OWENS CORNING,1.38%,58978,$173.72,7.91%,$159.98,$10245796
Christopher Davis,Clipper Fund,2318,PING AN INSURANCE GROUP CO H,1.31%,3326500,$4.53,0,0,$15079695
Christopher Davis,Clipper Fund,DGX,QUEST DIAGNOSTICS INC,1.62%,136120,$136.88,13.52%,$155.39,$18632105
Christopher Davis,Clipper Fund,005930,SAMSUNG ELECTRONICS CO LTD,1.50%,291070,$59.21,0,0,$17233712
Christopher Davis,Clipper Fund,SOLV,SOLVENTUM CORP,1.36%,295500,$52.88,23.13%,$65.11,$15626040
Christopher Davis,Clipper Fund,TECK,TECK RESOURCES LTD-CLS B,2.27%,342877,$47.90,5.89%,$45.08,$16423832
Christopher Davis,Clipper Fund,TSN,TYSON FOODS INC-CL A,0.97%,196120,$57.14,15.02%,$65.72,$11206296
Christopher Davis,Clipper Fund,USB,US BANCORP,3.92%,681450,$39.70,16.02%,$46.06,$27053565
Christopher Davis,Clipper Fund,VTRSV,VIATRIS INC-W/I,2.77%,3001650,$10.63,0,0,$31907539
Christopher Davis,Clipper Fund,WFC,WELLS FARGO & CO,4.79%,928102,$59.39,2.14%,$58.12,$55119977
Bill Nygren,Oakmark Select Fund,ALLY,ALLY FINANCIAL INC,3.31%,4825800,$39.67,4.81%,$41.58,$191439486
Bill Nygren,Oakmark Select Fund,GOOGL,ALPHABET INC-CL A,8.99%,2368255,$182.15,14.11%,$156.45,$431377757
Bill Nygren,Oakmark Select Fund,APA,APA CORP,2.14%,4210800,$29.44,12.06%,$25.89,$123965952
Bill Nygren,Oakmark Select Fund,COF,CAPITAL ONE FINANCIAL CORP,5.18%,1664506,$138.45,3.84%,$143.77,$230450950
Bill Nygren,Oakmark Select Fund,CBRE,CBRE GROUP INC - A,7.58%,4918852,$89.11,28.82%,$114.79,$438318901
Bill Nygren,Oakmark Select Fund,CNC,CENTENE CORP,3.65%,3186000,$66.30,10.50%,$73.26,$211231800
Bill Nygren,Oakmark Select Fund,CHTR,CHARTER COMMUNICATIONS INC-A,2.93%,567400,$298.96,10.93%,$331.64,$169629904
Bill Nygren,Oakmark Select Fund,COP,CONOCOPHILLIPS,4.37%,2206912,$114.38,5.09%,$108.56,$252426594
Bill Nygren,Oakmark Select Fund,DE,DEERE & CO,5.21%,806000,$373.63,4.90%,$391.95,$301145780
Bill Nygren,Oakmark Select Fund,FCNCA,FIRST CITIZENS BCSHS -CL A,7.31%,200702,$1683.61,17.31%,$1975.09,$337904567
Bill Nygren,Oakmark Select Fund,FISV,FISERV INC,3.67%,1160895,$149.04,23.36%,$114.23,$173019906
Bill Nygren,Oakmark Select Fund,ICE,INTERCONTINENTAL EXCHANGE IN,5.40%,2282253,$136.89,18.66%,$162.43,$312417613
Bill Nygren,Oakmark Select Fund,IQV,IQVIA HOLDINGS INC,7.04%,1924400,$211.44,17.69%,$248.84,$406895136
Bill Nygren,Oakmark Select Fund,LBRDK,LIBERTY BROADBAND-C,1.45%,1527000,$54.82,9.81%,$60.20,$83710140
Bill Nygren,Oakmark Select Fund,LAD,LITHIA MOTORS INC,5.67%,1097655,$252.45,12.95%,$285.13,$277103004
Bill Nygren,Oakmark Select Fund,PAYC,PAYCOM SOFTWARE INC,5.21%,2104388,$143.04,11.86%,$160.00,$301011659
Bill Nygren,Oakmark Select Fund,PSX,PHILLIPS 66,3.80%,1556000,$141.17,6.29%,$132.29,$219660520
Bill Nygren,Oakmark Select Fund,CRM,SALESFORCECOM INC,4.93%,1108400,$257.10,3.66%,$247.68,$284969640
Bill Nygren,Oakmark Select Fund,SCHW,SCHWAB (CHARLES) CORP,6.44%,3962632,$73.69,13.29%,$63.90,$292006417
Bill Nygren,Oakmark Select Fund,WBD,WARNER BROS DISCOVERY INC,2.45%,16389020,$7.44,1.61%,$7.32,$121934308
Bill Nygren,Oakmark Select Fund,WFC,WELLS FARGO & CO,3.25%,3165745,$59.39,2.14%,$58.12,$188013595
V. D. Dodge  E. M. Cox,Dodge & Cox Stock Fund,AEG,AEGON LTD-NY REG SHR,0.54%,93940539,$6.13,1.63%,$6.03,$575855504
V. D. Dodge  E. M. Cox,Dodge & Cox Stock Fund,ALNY,ALNYLAM PHARMACEUTICALS INC,0.54%,1466500,$243.00,4.17%,$253.14,$356359500
V. D. Dodge  E. M. Cox,Dodge & Cox Stock Fund,GOOGL,ALPHABET INC-CL A,1.65%,9567200,$182.15,14.11%,$156.45,$1742665480
V. D. Dodge  E. M. Cox,Dodge & Cox Stock Fund,GOOG,ALPHABET INC-CL C,3.05%,17595660,$183.42,13.96%,$157.81,$3227395957
V. D. Dodge  E. M. Cox,Dodge & Cox Stock Fund,AMZN,AMAZONCOM INC,2.10%,7003166,$193.25,10.31%,$173.33,$1353361829
V. D. Dodge  E. M. Cox,Dodge & Cox Stock Fund,AEP,AMERICAN ELECTRIC POWER,0.61%,7351200,$87.74,16.74%,$102.43,$644994288
V. D. Dodge  E. M. Cox,Dodge & Cox Stock Fund,BUD,ANHEUSER-BUSCH INBEV-SPN ADR,1.28%,23225700,$58.15,7.64%,$62.59,$1350574455
V. D. Dodge  E. M. Cox,Dodge & Cox Stock Fund,AHT,ASHTEAD GROUP PLC,0.70%,11157360,$66.63,98.66%,$0.89,$743402788
V. D. Dodge  E. M. Cox,Dodge & Cox Stock Fund,AVTR,AVANTOR INC,0.85%,25320174,$21.20,18.21%,$25.06,$536787697
V. D. Dodge  E. M. Cox,Dodge & Cox Stock Fund,BKR,BAKER HUGHES CO,1.11%,33551066,$35.17,3.16%,$34.06,$1179990991
V. D. Dodge  E. M. Cox,Dodge & Cox Stock Fund,BAC,BANK OF AMERICA CORP,1.66%,44103300,$39.77,1.84%,$40.50,$1753988241
V. D. Dodge  E. M. Cox,Dodge & Cox Stock Fund,BK,BANK OF NEW YORK MELLON CORP,2.06%,21140433,$59.89,13.11%,$67.74,$1266100587
V. D. Dodge  E. M. Cox,Dodge & Cox Stock Fund,BAX,BAXTER INTERNATIONAL INC,0.57%,18088600,$33.45,12.20%,$37.53,$605063670
V. D. Dodge  E. M. Cox,Dodge & Cox Stock Fund,BMRN,BIOMARIN PHARMACEUTICAL INC,0.69%,8914025,$82.33,9.15%,$89.86,$733891678
V. D. Dodge  E. M. Cox,Dodge & Cox Stock Fund,BKNG,BOOKING HOLDINGS INC,1.50%,226977,$3961.50,4.10%,$3799.21,$899171168
V. D. Dodge  E. M. Cox,Dodge & Cox Stock Fund,BHF,BRIGHTHOUSE FINANCIAL INC,0.21%,5076719,$43.34,4.96%,$45.49,$220025001
V. D. Dodge  E. M. Cox,Dodge & Cox Stock Fund,BMY,BRISTOL-MYERS SQUIBB CO,0.45%,11355339,$41.53,20.30%,$49.96,$471587228
V. D. Dodge  E. M. Cox,Dodge & Cox Stock Fund,COF,CAPITAL ONE FINANCIAL CORP,1.79%,13699079,$138.45,3.84%,$143.77,$1896637487
V. D. Dodge  E. M. Cox,Dodge & Cox Stock Fund,CARR,CARRIER GLOBAL CORP,0.64%,5721706,$63.08,9.56%,$69.11,$360925262
V. D. Dodge  E. M. Cox,Dodge & Cox Stock Fund,CE,CELANESE CORP,0.57%,4442098,$134.89,7.84%,$124.31,$599194599
V. D. Dodge  E. M. Cox,Dodge & Cox Stock Fund,CHTR,CHARTER COMMUNICATIONS INC-A,2.11%,7462776,$298.96,10.93%,$331.64,$2231071512
V. D. Dodge  E. M. Cox,Dodge & Cox Stock Fund,CI,CIGNA CORP,1.86%,3280294,$330.57,10.91%,$366.64,$1084366985
V. D. Dodge  E. M. Cox,Dodge & Cox Stock Fund,CSCO,CISCO SYSTEMS INC,0.80%,9322709,$47.51,4.61%,$49.70,$442921915
V. D. Dodge  E. M. Cox,Dodge & Cox Stock Fund,CTSH,COGNIZANT TECH SOLUTIONS-A,0.93%,14435177,$68.00,13.71%,$77.32,$981592036
V. D. Dodge  E. M. Cox,Dodge & Cox Stock Fund,COHR,COHERENT CORP,0.61%,8856800,$72.46,1.99%,$73.90,$641763728
V. D. Dodge  E. M. Cox,Dodge & Cox Stock Fund,CMCSA,COMCAST CORP-CLASS A,1.69%,23094050,$39.16,1.25%,$38.67,$904363035
V. D. Dodge  E. M. Cox,Dodge & Cox Stock Fund,COP,CONOCOPHILLIPS,0.91%,8392934,$114.38,5.09%,$108.56,$959983790
V. D. Dodge  E. M. Cox,Dodge & Cox Stock Fund,CVS,CVS HEALTH CORP,2.30%,41232500,$59.06,0.41%,$59.30,$2435191450
V. D. Dodge  E. M. Cox,Dodge & Cox Stock Fund,D,DOMINION ENERGY INC,0.74%,16086200,$49.00,17.33%,$57.49,$788223800
V. D. Dodge  E. M. Cox,Dodge & Cox Stock Fund,SATS,ECHOSTAR CORP-A,0.16%,9217601,$17.81,3.37%,$18.41,$164165489
V. D. Dodge  E. M. Cox,Dodge & Cox Stock Fund,ELAN,ELANCO ANIMAL HEALTH INC,0.76%,55396500,$14.43,4.09%,$15.02,$799371495
V. D. Dodge  E. M. Cox,Dodge & Cox Stock Fund,FDX,FEDEX CORP,2.54%,8732565,$299.84,2.33%,$292.84,$2618372311
V. D. Dodge  E. M. Cox,Dodge & Cox Stock Fund,FIS,FIDELITY NATIONAL INFO SERV,1.97%,27726400,$75.36,9.34%,$82.40,$2089461504
V. D. Dodge  E. M. Cox,Dodge & Cox Stock Fund,FISV,FISERV INC,3.27%,23235000,$149.04,23.36%,$114.23,$3462944400
V. D. Dodge  E. M. Cox,Dodge & Cox Stock Fund,FOXA,FOX CORP - CLASS A,0.73%,21603240,$34.37,19.81%,$41.18,$742503358
V. D. Dodge  E. M. Cox,Dodge & Cox Stock Fund,FOX,FOX CORP - CLASS B,0.26%,8493265,$32.02,19.27%,$38.19,$271954345
V. D. Dodge  E. M. Cox,Dodge & Cox Stock Fund,GLPI,GAMING AND LEISURE PROPERTIE,0.19%,4220257,$45.21,14.95%,$51.97,$190797843
V. D. Dodge  E. M. Cox,Dodge & Cox Stock Fund,GPS,GAP INC/THE,0.50%,22292772,$23.89,2.76%,$24.55,$532574323
V. D. Dodge  E. M. Cox,Dodge & Cox Stock Fund,GEHCV,GE HEALTHCARE INC-W/I,0.79%,10707966,$77.92,28.13%,$56.00,$834364710
V. D. Dodge  E. M. Cox,Dodge & Cox Stock Fund,GE,GENERAL ELECTRIC CO,1.61%,10718800,$158.97,4.65%,$166.36,$1703967636
V. D. Dodge  E. M. Cox,Dodge & Cox Stock Fund,GILD,GILEAD SCIENCES INC,1.58%,22665134,$68.61,15.33%,$79.13,$1555054854
V. D. Dodge  E. M. Cox,Dodge & Cox Stock Fund,GS,GOLDMAN SACHS GROUP INC,1.71%,3993000,$452.32,8.47%,$490.64,$1806113760
V. D. Dodge  E. M. Cox,Dodge & Cox Stock Fund,GSK,GSK PLC-SPON ADR,1.82%,50047977,$38.50,14.96%,$44.26,$1926847114
V. D. Dodge  E. M. Cox,Dodge & Cox Stock Fund,HLN,HALEON,1.02%,130111961,$8.26,0,0,$1074724797
V. D. Dodge  E. M. Cox,Dodge & Cox Stock Fund,HMC,HONDA MOTOR CO LTD-SPONS ADR,0.49%,16048200,$32.24,1.46%,$31.77,$517393968
V. D. Dodge  E. M. Cox,Dodge & Cox Stock Fund,HPQ,HP INC,0.87%,24079191,$35.02,0.89%,$35.33,$843253277
V. D. Dodge  E. M. Cox,Dodge & Cox Stock Fund,HUM,HUMANA INC,1.02%,2592860,$373.65,0.60%,$371.40,$968822288
V. D. Dodge  E. M. Cox,Dodge & Cox Stock Fund,INCY,INCYTE CORP,0.56%,9715128,$60.62,6.12%,$64.33,$588931059
V. D. Dodge  E. M. Cox,Dodge & Cox Stock Fund,IFF,INTL FLAVORS & FRAGRANCES,1.25%,13889400,$95.21,8.30%,$103.11,$1322409774
V. D. Dodge  E. M. Cox,Dodge & Cox Stock Fund,JCI,JOHNSON CONTROLS INTERNATION,2.62%,41748217,$66.47,5.37%,$70.04,$2775003983
V. D. Dodge  E. M. Cox,Dodge & Cox Stock Fund,JNPR,JUNIPER NETWORKS INC,0.92%,23647434,$36.46,6.34%,$38.77,$862185461
V. D. Dodge  E. M. Cox,Dodge & Cox Stock Fund,LYB,LYONDELLBASELL INDU-CL A,0.95%,10501363,$95.66,0.83%,$94.87,$1004560384
V. D. Dodge  E. M. Cox,Dodge & Cox Stock Fund,MDT,MEDTRONIC PLC,0.38%,5079100,$78.71,15.65%,$91.03,$399775961
V. D. Dodge  E. M. Cox,Dodge & Cox Stock Fund,META,META PLATFORMS INC-CLASS A,1.24%,2607800,$504.22,1.69%,$512.74,$1314904916
V. D. Dodge  E. M. Cox,Dodge & Cox Stock Fund,MET,METLIFE INC,2.70%,40685842,$70.19,10.44%,$77.52,$2855739249
V. D. Dodge  E. M. Cox,Dodge & Cox Stock Fund,MSFT,MICROSOFT CORP,2.61%,6170600,$446.95,8.51%,$408.90,$2757949670
V. D. Dodge  E. M. Cox,Dodge & Cox Stock Fund,TAP,MOLSON COORS BEVERAGE CO - B,0.52%,9332772,$50.83,9.68%,$55.75,$474384838
V. D. Dodge  E. M. Cox,Dodge & Cox Stock Fund,NBIX,NEUROCRINE BIOSCIENCES INC,0.09%,700288,$137.67,10.99%,$122.54,$96408648
V. D. Dodge  E. M. Cox,Dodge & Cox Stock Fund,NWSA,NEWS CORP - CLASS A,0.20%,7765890,$27.57,1.56%,$27.14,$214105587
V. D. Dodge  E. M. Cox,Dodge & Cox Stock Fund,NSC,NORFOLK SOUTHERN CORP,1.41%,5962770,$214.69,20.96%,$259.69,$1280147091
V. D. Dodge  E. M. Cox,Dodge & Cox Stock Fund,NVS,NOVARTIS AG-SPONSORED ADR,0.95%,9440008,$106.46,12.14%,$119.38,$1004983251
V. D. Dodge  E. M. Cox,Dodge & Cox Stock Fund,OXY,OCCIDENTAL PETROLEUM CORP,3.23%,54290826,$63.03,13.33%,$54.63,$3421950762
V. D. Dodge  E. M. Cox,Dodge & Cox Stock Fund,RTX,RAYTHEON TECHNOLOGIES CORP,2.89%,25616472,$100.39,20.64%,$121.11,$2571637624
V. D. Dodge  E. M. Cox,Dodge & Cox Stock Fund,REGN,REGENERON PHARMACEUTICALS,1.54%,1555285,$1051.03,12.21%,$1179.37,$1634651193
V. D. Dodge  E. M. Cox,Dodge & Cox Stock Fund,RHHBY,ROCHE HOLDINGS LTD-SPONS ADR,0.73%,22255799,$34.67,18.11%,$40.95,$771608551
V. D. Dodge  E. M. Cox,Dodge & Cox Stock Fund,SNY,SANOFI-ADR,2.67%,48025249,$48.52,20.63%,$58.53,$2330185119
V. D. Dodge  E. M. Cox,Dodge & Cox Stock Fund,SCHW,SCHWAB (CHARLES) CORP,4.03%,57921035,$73.69,13.29%,$63.90,$4268201069
V. D. Dodge  E. M. Cox,Dodge & Cox Stock Fund,STT,STATE STREET CORP,0.68%,9700200,$74.00,16.09%,$85.91,$717814800
V. D. Dodge  E. M. Cox,Dodge & Cox Stock Fund,SUI,SUN COMMUNITIES INC,0.44%,3140937,$120.34,13.28%,$136.32,$377980358
V. D. Dodge  E. M. Cox,Dodge & Cox Stock Fund,TMUS,T-MOBILE US INC,1.22%,7309437,$176.18,12.84%,$198.80,$1287776610
V. D. Dodge  E. M. Cox,Dodge & Cox Stock Fund,TEL,TE CONNECTIVITY LTD,1.16%,8132575,$150.43,1.83%,$147.68,$1223383257
V. D. Dodge  E. M. Cox,Dodge & Cox Stock Fund,TFC,TRUIST FINANCIAL CORP,1.26%,34231377,$38.85,12.28%,$43.62,$1329888996
V. D. Dodge  E. M. Cox,Dodge & Cox Stock Fund,UBS,UBS GROUP AG-REG,0.47%,12693150,$29.54,0.34%,$29.44,$374955651
V. D. Dodge  E. M. Cox,Dodge & Cox Stock Fund,UNH,UNITEDHEALTH GROUP INC,1.28%,2110931,$509.26,18.64%,$604.18,$1075013077
V. D. Dodge  E. M. Cox,Dodge & Cox Stock Fund,VFC,VF CORP,0.35%,27401600,$13.50,33.41%,$18.01,$369921600
V. D. Dodge  E. M. Cox,Dodge & Cox Stock Fund,WFC,WELLS FARGO & CO,3.67%,65337741,$59.39,2.14%,$58.12,$3880408437
V. D. Dodge  E. M. Cox,Dodge & Cox Stock Fund,WMB,WILLIAMS COS INC,1.08%,26837757,$42.50,4.59%,$44.45,$1140604672
V. D. Dodge  E. M. Cox,Dodge & Cox Stock Fund,ZBH,ZIMMER BIOMET HOLDINGS INC,1.12%,8320216,$108.53,5.48%,$114.48,$902993096
Independent Franchise Partners,US Equity Fund,AON,AON PLC-CLASS A,4.86%,250388,$293.58,18.72%,$348.55,$73509146
Independent Franchise Partners,US Equity Fund,AZPN,ASPEN TECHNOLOGY INC,2.83%,267660,$198.63,15.03%,$228.48,$53165305
Independent Franchise Partners,US Equity Fund,BKNG,BOOKING HOLDINGS INC,2.88%,13681,$3961.50,4.10%,$3799.21,$54197281
Independent Franchise Partners,US Equity Fund,BMY,BRISTOL-MYERS SQUIBB CO,3.95%,1787899,$41.53,20.30%,$49.96,$74251445
Independent Franchise Partners,US Equity Fund,BTAFF,BRITISH AMERICAN TOBACCO PLC,3.07%,1876667,$30.72,20.32%,$36.96,$57646766
Independent Franchise Partners,US Equity Fund,CFRHF,CIE FINANCIERE RICHEMO-A REG,2.40%,288929,$156.10,0.01%,$156.08,$45102445
Independent Franchise Partners,US Equity Fund,CTVA,CORTEVA INC,4.20%,1463102,$53.94,2.89%,$55.50,$78919721
Independent Franchise Partners,US Equity Fund,EBAY,EBAY INC,3.22%,958801,$53.72,9.74%,$58.95,$51506826
Independent Franchise Partners,US Equity Fund,EA,ELECTRONIC ARTS INC,3.83%,516916,$139.33,5.56%,$147.08,$72021906
Independent Franchise Partners,US Equity Fund,EL,ESTEE LAUDER COMPANIES-CL A,2.37%,418128,$106.40,13.15%,$92.41,$44488819
Independent Franchise Partners,US Equity Fund,FOXA,FOX CORP - CLASS A,4.15%,1962236,$34.37,19.81%,$41.18,$67442082
Independent Franchise Partners,US Equity Fund,FOX,FOX CORP - CLASS B,0.94%,553460,$32.02,19.27%,$38.19,$17721789
Independent Franchise Partners,US Equity Fund,ICE,INTERCONTINENTAL EXCHANGE IN,4.97%,559406,$136.89,18.66%,$162.43,$76577149
Independent Franchise Partners,US Equity Fund,JNJ,JOHNSON & JOHNSON,4.13%,443255,$146.16,14.50%,$167.36,$64786234
Independent Franchise Partners,US Equity Fund,NYT,NEW YORK TIMES CO-A,1.02%,373926,$51.21,5.35%,$53.95,$19148750
Independent Franchise Partners,US Equity Fund,NWSA,NEWS CORP - CLASS A,3.97%,2709325,$27.57,1.56%,$27.14,$74696090
Independent Franchise Partners,US Equity Fund,NWS,NEWS CORP - CLASS B,1.74%,1149066,$28.39,0.56%,$28.23,$32621983
Independent Franchise Partners,US Equity Fund,NTDOF,NINTENDO CO LTD,3.60%,1271770,$53.18,1.54%,$54.00,$67631699
Independent Franchise Partners,US Equity Fund,NVSEF,NOVARTIS AG-REG,3.69%,648692,$107.04,11.17%,$119.00,$69435928
Independent Franchise Partners,US Equity Fund,ORCL,ORACLE CORP,5.30%,706005,$141.20,0.32%,$140.75,$99687906
Independent Franchise Partners,US Equity Fund,PKI,PERKINELMER INC,0.72%,96353,$104.86,9.90%,$115.24,$10103584
Independent Franchise Partners,US Equity Fund,PM,PHILIP MORRIS INTERNATIONAL,5.97%,1107967,$101.33,24.95%,$126.61,$112270296
Independent Franchise Partners,US Equity Fund,RBA,RB GLOBAL INC,5.89%,1145691,$76.36,9.95%,$83.96,$87485038
Independent Franchise Partners,US Equity Fund,RBGPF,RECKITT BENCKISER GROUP PLC,2.88%,999012,$54.13,5.30%,$57.00,$54075286
Independent Franchise Partners,US Equity Fund,TKO,TKO GROUP HOLDINGS INC,4.71%,636073,$107.99,9.23%,$117.96,$68689576
Independent Franchise Partners,US Equity Fund,TRU,TRANSUNION,1.50%,379398,$74.16,28.41%,$95.23,$28136155
